x,y,grupo
10,8.04,Grupo_1
8,6.95,Grupo_1
13,7.58,Grupo_1
9,8.81,Grupo_1
11,8.33,Grupo_1
14,9.96,Grupo_1
6,7.24,Grupo_1
4,4.26,Grupo_1
12,10.84,Grupo_1
7,4.82,Grupo_1
5,5.68,Grupo_1
10,9.14,Grupo_2
8,8.14,Grupo_2
13,8.74,Grupo_2
9,8.77,Grupo_2
11,9.26,Grupo_2
14,8.1,Grupo_2
6,6.13,Grupo_2
4,3.1,Grupo_2
12,9.13,Grupo_2
7,7.26,Grupo_2
5,4.74,Grupo_2
10,7.46,Grupo_3
8,6.77,Grupo_3
13,12.74,Grupo_3
9,7.11,Grupo_3
11,7.81,Grupo_3
14,8.84,Grupo_3
6,6.08,Grupo_3
4,5.39,Grupo_3
12,8.15,Grupo_3
7,6.42,Grupo_3
5,5.73,Grupo_3
8,6.58,Grupo_4
8,5.76,Grupo_4
8,7.71,Grupo_4
8,8.84,Grupo_4
8,8.47,Grupo_4
8,7.04,Grupo_4
8,5.25,Grupo_4
19,12.5,Grupo_4
8,5.56,Grupo_4
8,7.91,Grupo_4
8,6.89,Grupo_4
